date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-08 23:35:53,Paranoid_P_Dub,,2,0,7,"A Lab is responsible for this COVID19 shit! ",,,,1270137501550870528,https://twitter.com/Paranoid_P_Dub/status/1270137501550870528
2020-06-08 23:35:51,GJenovai,TheMaineTweeter,1,0,0,"Isn’t it Maine that told people to stay away because of covid19",,,,1270137496605798405,https://twitter.com/GJenovai/status/1270137496605798405
2020-06-08 23:35:51,mythic_e_media,,0,0,1,"Who'se been styling @ShireenSandoval &amp; @lmartinez7? Did the #COVID19 #pandemic step everyone's game up? Ladies @decodrive : you are LOOKING GOOD!",,@ShireenSandoval @lmartinez7 @decodrive,#COVID19 #pandemic,1270137495125098499,https://twitter.com/mythic_e_media/status/1270137495125098499
2020-06-08 23:35:51,DereckCurry,politicoalex,0,0,0,"MAGAdeath concerts. #COVID19 ",,,#COVID19,1270137494525431808,https://twitter.com/DereckCurry/status/1270137494525431808
2020-06-08 23:35:51,MEGueretteRD,CanadaHEAL,0,1,6,"With HEAL, DC is advocating for fair compensation for dietitians on the frontlines. #COVID19 #DietitiansAreKey",,,#COVID19 #DietitiansAreKey,1270137493158010881,https://twitter.com/MEGueretteRD/status/1270137493158010881
2020-06-08 23:35:49,sagar_1mb,,0,0,0,"#COVID19 ",,,#COVID19,1270137488527331329,https://twitter.com/sagar_1mb/status/1270137488527331329
2020-06-08 23:35:49,frankedson24,jimsciutto,0,0,0,"Let’s just assume everything #trump says or #tweets is a lie. #trumpownseverydeath #bloodontrumpshands #voteBiden2020 #cult45 #liarinchief #covi̇d19 #coronavirus #protests2020 #voteforyourlife #ICantBreathe #sexualpredatortrump #killerinchief #TrumpLiesAmericaDies #GeorgeFloyd",,,#trump #tweets #trumpownseverydeath #bloodontrumpshands #voteBiden2020 #cult45 #liarinchief #covi #coronavirus #protests2020 #voteforyourlife #ICantBreathe #sexualpredatortrump #killerinchief #TrumpLiesAmericaDies #GeorgeFloyd,1270137487302684672,https://twitter.com/frankedson24/status/1270137487302684672
2020-06-08 23:35:49,RodP13,,0,1,1,"#Covid19 Nº Cidades 8 4414 7 4368 6 4325 5 4250 4 4221 3 4176 2 4142 1/6 4099 31/5 4033 30 3995 29 3930 28 3871 27 3828 26 3769 25 3739 24 3679 23 3643 22 3562 21 3461 20 3390 19 3320 18 3282 17 3246 16 3154 15 3081 14 2951 13 2921 12 2868 11 2826 10 2761 9 2670 8 2544 7 2488 ",,,#Covid19,1270137486212300803,https://twitter.com/RodP13/status/1270137486212300803
2020-06-08 23:35:45,J_Manuel__,KHOU,1,3,16,"Career Criminal and Violent Offender. Posed as water company employee, robbed, and beat pregnant woman. High on heroin and meth when arrested did nothing to improve his life. Who is funding his 3 funerals @LinaHidalgoTX #COVID19 #GeorgeFloyd #BackTheBlue #coronavirus @tedcruz",,@LinaHidalgoTX @tedcruz,#COVID19 #GeorgeFloyd #BackTheBlue #coronavirus,1270137469418139648,https://twitter.com/J_Manuel__/status/1270137469418139648
2020-06-08 23:35:45,Laguantanamera,,0,0,0,"Bienvenidos Valientesss ... Ahora recordamos a #Fidel cuando dijo: “Médicos y no bombas” Italia fue uno de los países más afectados por la #Covid19 y #Cuba dijo AQUIIII #CubaSalvaVidas",,,#Fidel #Covid19 #Cuba #CubaSalvaVidas,1270137468189380608,https://twitter.com/Laguantanamera/status/1270137468189380608
2020-06-08 23:35:43,budundut70,KemensosRI,0,0,0,"Walau sy tdk termasuk dr semua tahapan Bansos, BLT maupun BST thd dampak pandemi #COVID19 di #IndonesiaMelawanCovid19 Sy ttp MENDUKUNG @KemensosRI @juliaribatubara @BNPB_Indonesia @jokowi &amp; MENGUTUK @BPJSKesehatanRI yg tlh membuat TAGIHAN IURAN layaknya RENTENIR &amp; LINTAH DARAT",,@KemensosRI @juliaribatubara @BNPB_Indonesia @jokowi @BPJSKesehatanRI,#COVID19 #IndonesiaMelawanCovid19,1270137463185403904,https://twitter.com/budundut70/status/1270137463185403904
2020-06-08 23:35:43,Metropolialtens,,0,0,0,"#COVID19 | Este día reforzaron la contención en el Parque Central de #Xela.",,,#COVID19 #Xela,1270137459632996352,https://twitter.com/Metropolialtens/status/1270137459632996352
2020-06-08 23:35:41,lagato88,,0,0,0,"Thread by @DrDenaGrayson: Cases of #coronavirus have INCREASED in 23 states, DC and #PuertoRico compared with the prior week—most by 10% or mw surge of #COVID19 cases stems from viral transmission a few weeks ago (#MemorialDay) — NOT this past week. 1/ @…",,@DrDenaGrayson,#coronavirus #PuertoRico #COVID19 #MemorialDay,1270137454549446659,https://twitter.com/lagato88/status/1270137454549446659
2020-06-08 23:35:41,k_ripTopCity,,0,0,0,"Tracking entities, especially in media need to provide/facilitate updated statistics consistently. Here is an example of state & natl data not agreeing #covidks #ksleg #COVID19 @KDHE source: https://www.coronavirus.kdheks.gov/160/COVID-19-in-Kansas @washingtonpost source: https://www.washingtonpost.com/graphics/2020/national/coronavirus-us-cases-deaths/ @COVID19Tracking https://twitter.com/cfishman/status/1269824470224637952",,@KDHE @washingtonpost @COVID19Tracking,#covidks #ksleg #COVID19,1270137451911286789,https://twitter.com/k_ripTopCity/status/1270137451911286789
2020-06-08 23:35:40,DanielHennis,KTVB,0,0,0,"You mean after covid19 reduced demand by only one tenth? (""decimated"")",,,,1270137449792954369,https://twitter.com/DanielHennis/status/1270137449792954369
2020-06-08 23:35:40,EnCuarentena4,,0,0,0,"#HoyEnCuarentena | DIA MUNDIAL DE LOS OCÉANOS SÍGUENOS TAMBIÉN EN: IG: https://www.instagram.com/encuarentenaofficial/?hl=es-la FB: https://www.facebook.com/En-Cuarentena-104783281222939/ #YoMeQuedoEnCasa #EnCuarentena #Perú #QuédateEnCasa #QuédateEnCasa #coronavirus #covid19 ",,,#HoyEnCuarentena #YoMeQuedoEnCasa #YoMeQuedoEnCasa #EnCuarentena #Per #Qu #Qu #Qu #Qu #coronavirus #covid19,1270137446873870337,https://twitter.com/EnCuarentena4/status/1270137446873870337
2020-06-08 23:35:39,ancisneros,jfcarpio,0,0,0,"Vitamina D, K y dióxido de cloro (CDS o MMS), los aliados perfectos para que no sintamos el Covid19. Lo de vitamina K no lo sabía, interesante.",,,,1270137442918678531,https://twitter.com/ancisneros/status/1270137442918678531
2020-06-08 23:35:38,Klebodiamond3,YouTube,0,0,0,"Music is like a dream without music, life would be a mistake “I can chase you, and I can catch you, but there is nothing I can do to make you mine.” ...https://cutt.ly/HmgBaby #BlackLivesMatter #冷やして食べるしっとり食感のバウム #ファミマスイーツ部 #BLM #COVID19 ",,,#BlackLivesMatter #BlackLivesMatter #BLM #COVID19,1270137440066510848,https://twitter.com/Klebodiamond3/status/1270137440066510848
2020-06-08 23:35:37,gredins,MysterySolvent,0,0,1,"Brown Stain",,,,1270137434676789248,https://twitter.com/gredins/status/1270137434676789248
2020-06-08 23:35:36,zatsuon_A,zatsuon_A,0,0,12,"シールにある何気ない英単語にも様々な意味があるもんだ。コロナを風評被害を配慮して頑なにcovid19って言うほど意識高いはずのに気づかんかったか。ごめーんいちゃもんばかりで。",,,,1270137433024155648,https://twitter.com/zatsuon_A/status/1270137433024155648
2020-06-08 23:35:36,shipochi,,0,1,1,"また要らないマスク送ってよこされても困るんで、COVID19の対処法確立するまでずっと国会やってようぜー。 #国会を止めるな",,,,1270137430948016129,https://twitter.com/shipochi/status/1270137430948016129
2020-06-08 23:35:35,irpan_679,,0,0,0,"@KompasTV fenomena pengambilan paksa jenasah covid19 sampai tolak rapit test covid19 pemerintah TNI polisi perlu ada pencegahan dan penangan yg tegas dan efektif...",,@KompasTV,,1270137426988511233,https://twitter.com/irpan_679/status/1270137426988511233
2020-06-08 23:35:33,connor20019,,0,0,5," ya mi padre se recuperó de COVID19, gracias a Dios ",,,,1270137419904552961,https://twitter.com/connor20019/status/1270137419904552961
2020-06-08 23:35:33,marcogomezarq,,0,0,0,"Hoy tuve la quimioterapia, tenía más nervios de contagiarme COVID19, que al tratamiento. Gxs a Dios salió todo bien ",,,,1270137418478428165,https://twitter.com/marcogomezarq/status/1270137418478428165
2020-06-08 23:35:32,JoeRooms1,,2,1,6,"#Tamaulipas ocupa a nivel Nacional el lugar 11 por casos de dengue; tercer lugar en obesidad infantil y mueren 8 personas por #Covid19_mx en un día. Para rematar el Estado registra hasta los 43C. Sin faltar la violencia que se vive en cada municipio. #Reynosafollow #CdVictoria",,,#Tamaulipas #Covid19_mx #Reynosafollow #CdVictoria,1270137417308217345,https://twitter.com/JoeRooms1/status/1270137417308217345
2020-06-08 23:35:31,richard_astbury,James78141017,0,0,0,"Covid19 Hard hitting facts. ",,,,1270137412455292928,https://twitter.com/richard_astbury/status/1270137412455292928
2020-06-08 23:35:30,yuyusbenitez,,0,0,0,"#SNTEsalud Mantener una rutina y evitar ciertos hábitos ayudan a combatir el trastorno del sueño por #Cuarentena #COVID19 Si el problema sigue consulta un médico ‍ para regular tu horario México en Semáforo Rojo Hay Alto Contagio #QuedateEnCasa",,,#SNTEsalud #Cuarentena #COVID19 #QuedateEnCasa #QuedateEnCasa,1270137408030420993,https://twitter.com/yuyusbenitez/status/1270137408030420993
2020-06-08 23:35:30,duenda8,,0,0,0,"@PolemicaBar Como podes ser tan Hdp #iudica @iudica de llamar "" HIJO DE PUTA"" a un enfermo de #COVID19 en #Olavarria ? . ¿Que sabes vos las circunstancias de cada infectado??.",,@PolemicaBar @iudica,#iudica #COVID19 #Olavarria,1270137405715165193,https://twitter.com/duenda8/status/1270137405715165193
2020-06-08 23:35:29,kipo88191084,kazusa_covid19,0,0,0,"沖縄行きは200人くらい乗ってるみたいですが お気をつけてください ",,,,1270137403198455808,https://twitter.com/kipo88191084/status/1270137403198455808
2020-06-08 23:35:29,i1n1,,0,0,0,"@krasheedmpp not good idea. #PhysicalDistancing is definitely not strong point of #Muslims. Keep #Mosques SHUT to save lives. #COVID19 #coronavirus #SocialDistanacing #COVID19 #Masks4All #NitrileGloves @fordnation",,@krasheedmpp @fordnation,#PhysicalDistancing #Muslims #Mosques #COVID19 #coronavirus #SocialDistanacing #COVID19 #Masks4All #NitrileGloves,1270137401453809665,https://twitter.com/i1n1/status/1270137401453809665
2020-06-08 23:35:29,nozima,,1,0,7,"A politização estraga tudo o que toca, no Brasil, nos EUA...no mundo. Estragou a fé e a ciência. Obscureceu todo o combate à Covid19. A verdade foi assassinada por todos os lados. ",,,,1270137401327919107,https://twitter.com/nozima/status/1270137401327919107
2020-06-08 23:35:28,PressTV,,5,12,30,"China rejects US senator’s vaccine claims, asks for evidence #COVID19 ",,,#COVID19,1270137398320652288,https://twitter.com/PressTV/status/1270137398320652288
2020-06-08 23:35:27,goKwikker,sharon000,0,0,0,"People accepted the injustice of Life but do not accept the injustice of Humanity #BlackLivesMatter #COVID19",,,#BlackLivesMatter #BlackLivesMatter #COVID19,1270137396366106624,https://twitter.com/goKwikker/status/1270137396366106624
